Date,Price,Open,High,Low,Vol.,Change %
2023-01-01,"16,618.4","16,537.5","16,621.9","16,499.7",107.84K,0.49%
2023-01-02,"16,674.3","16,618.4","16,766.9","16,551.0",136.03K,0.34%
2023-01-03,"16,674.2","16,673.1","16,773.2","16,607.2",178.73K,0.00%
2023-01-04,"16,852.1","16,674.2","16,976.5","16,656.5",247.39K,1.07%
2023-01-05,"16,829.8","16,852.2","16,877.9","16,772.3",178.96K,-0.13%
2023-01-06,"16,950.9","16,829.8","17,012.3","16,707.6",233.47K,0.72%
2023-01-07,"16,943.6","16,950.9","16,979.6","16,909.7",110.48K,-0.04%
2023-01-08,"17,119.0","16,943.6","17,119.0","16,913.8",144.84K,1.04%
2023-01-09,"17,180.1","17,119.0","17,390.8","17,107.1",301.24K,0.36%
2023-01-10,"17,439.1","17,180.1","17,491.0","17,151.7",247.14K,1.51%
2023-01-11,"17,942.3","17,440.5","17,989.8","17,323.9",291.53K,2.89%
2023-01-12,"18,851.3","17,941.0","19,055.3","17,915.5",522.01K,5.07%
2023-01-13,"19,927.0","18,850.8","19,981.6","18,723.8",426.67K,5.71%
2023-01-14,"20,958.2","19,926.9","21,185.6","19,898.6",458.21K,5.17%
2023-01-15,"20,879.8","20,956.0","21,032.2","20,585.7",205.80K,-0.37%
2023-01-16,"21,184.2","20,880.1","21,416.8","20,698.9",337.46K,1.46%
2023-01-17,"21,137.1","21,184.4","21,506.4","20,926.2",310.04K,-0.22%
2023-01-18,"20,670.6","21,137.1","21,584.1","20,448.3",388.67K,-2.21%
2023-01-19,"21,081.2","20,670.6","21,169.4","20,669.7",275.76K,1.99%
2023-01-20,"22,677.2","21,074.9","22,718.5","20,879.3",373.74K,7.57%
2023-01-21,"22,775.7","22,677.5","23,304.5","22,461.1",382.69K,0.43%
2023-01-22,"22,707.8","22,775.7","23,068.7","22,323.0",280.64K,-0.30%
2023-01-23,"22,915.5","22,709.0","23,161.8","22,527.9",327.85K,0.91%
2023-01-24,"22,632.5","22,916.3","23,156.1","22,517.1",334.17K,-1.23%
