Date,Price,Open,High,Low,Vol.,Change %
2024-01-02,"2,093.50","2,092.70","2,107.70","2,084.70",11.49K,0.08%
2024-01-03,"2,062.70","2,087.90","2,093.90","2,058.50",24.42K,-1.47%
2024-01-04,"2,069.90","2,069.20","2,077.60","2,063.10",11.28K,0.35%
2024-01-05,"2,069.70","2,071.30","2,090.70","2,051.00",19.59K,-0.01%
2024-01-08,"2,053.40","2,071.90","2,073.00","2,042.70",45.41K,-0.79%
2024-01-09,"2,053.00","2,054.10","2,068.40","2,051.90",63.81K,-0.02%
2024-01-10,"2,047.80","2,055.50","2,066.00","2,045.80",54.81K,-0.25%
2024-01-11,"2,039.00","2,049.30","2,075.00","2,037.30",65.58K,-0.43%
2024-01-12,"2,071.40","2,053.20","2,086.70","2,052.90",59.97K,1.59%
2024-01-15,"2,030.20","2,053.40","2,062.80","2,027.60",285.25K,-1.99%
2024-01-16,"2,049.90","2,073.20","2,082.20","2,047.50",25.50K,0.97%
2024-01-17,"2,026.00","2,051.20","2,055.60","2,024.30",26.64K,-1.17%
2024-01-18,"2,041.10","2,028.60","2,044.90","2,027.30",28.97K,0.75%
2024-01-19,"2,048.60","2,046.30","2,061.10","2,041.70",27.44K,0.37%
2024-01-22,"2,041.60","2,051.40","2,053.40","2,036.80",36.42K,-0.34%
2024-01-23,"2,045.20","2,042.60","2,058.50","2,040.00",45.69K,0.18%
2024-01-24,"2,035.20","2,049.70","2,057.20","2,031.10",77.56K,-0.49%
2024-01-25,"2,036.80","2,033.90","2,044.70","2,023.30",93.34K,0.08%
2024-01-26,"2,036.10","2,040.00","2,046.80","2,034.40",87.45K,-0.03%
2024-01-29,"2,044.60","2,043.00","2,056.20","2,037.70",184.04K,0.42%
2024-01-30,"2,070.50","2,071.30","2,086.70","2,066.80",6.11K,1.27%
2024-01-31,"2,087.00","2,075.00","2,093.90","2,068.50",6.85K,0.80%
