Date,Price,Open,High,Low,Vol.,Change %
2022-01-03,"1,802.40","1,832.90","1,835.40","1,800.50",9.97K,-1.56%
2022-01-04,"1,817.00","1,804.50","1,819.50","1,800.60",10.86K,0.81%
2022-01-05,"1,827.50","1,817.00","1,832.60","1,811.60",10.32K,0.58%
2022-01-06,"1,791.50","1,813.50","1,813.70","1,788.00",33.20K,-1.97%
2022-01-07,"1,799.90","1,793.00","1,800.70","1,783.80",71.89K,0.47%
2022-01-10,"1,801.30","1,798.00","1,804.40","1,792.00",39.84K,0.08%
2022-01-11,"1,821.00","1,803.70","1,825.50","1,802.30",40.67K,1.09%
2022-01-12,"1,829.80","1,823.70","1,830.40","1,816.90",45.50K,0.48%
2022-01-13,"1,823.90","1,828.00","1,830.50","1,814.30",86.51K,-0.32%
2022-01-14,"1,819.00","1,823.50","1,831.50","1,816.80",25.16K,-0.27%
2022-01-17,"1,812.40","1,818.70","1,822.90","1,804.70",362.94K,-0.36%
2022-01-18,"1,814.90","1,819.80","1,825.20","1,807.20",102.42K,0.14%
2022-01-19,"1,845.50","1,816.40","1,846.10","1,811.60",88.81K,1.69%
2022-01-20,"1,844.90","1,842.90","1,850.80","1,838.40",80.38K,-0.03%
2022-01-21,"1,834.10","1,842.60","1,845.80","1,830.60",68.74K,-0.59%
2022-01-24,"1,844.20","1,838.30","1,847.20","1,831.90",103.78K,0.55%
2022-01-25,"1,855.00","1,846.00","1,856.70","1,836.80",77.99K,0.59%
2022-01-26,"1,832.00","1,850.70","1,852.60","1,816.40",154.39K,-1.24%
2022-01-27,"1,795.00","1,821.40","1,823.80","1,792.70",206.38K,-2.02%
2022-01-28,"1,789.30","1,801.60","1,802.70","1,783.80",7.00K,-0.32%
2022-01-31,"1,799.20","1,795.40","1,803.20","1,788.90",7.66K,0.55%
2022-02-01,"1,804.30","1,800.90","1,812.40","1,800.00",3.20K,0.28%
2022-02-02,"1,813.20","1,803.00","1,814.40","1,797.60",3.75K,0.49%
2022-02-03,"1,807.00","1,809.90","1,812.00","1,791.60",3.60K,-0.34%
2022-02-04,"1,810.80","1,808.60","1,818.60","1,794.90",6.89K,0.21%
2022-02-07,"1,824.70","1,810.90","1,827.50","1,810.70",5.59K,0.77%
2022-02-08,"1,831.00","1,824.50","1,832.80","1,819.20",10.19K,0.35%
2022-02-09,"1,839.70","1,830.00","1,840.00","1,829.00",6.96K,0.48%
2022-02-10,"1,840.70","1,837.20","1,846.40","1,825.10",14.23K,0.05%
2022-02-11,"1,845.50","1,830.40","1,870.60","1,824.40",9.35K,0.26%
2022-02-14,"1,872.80","1,866.70","1,879.60","1,855.30",5.15K,1.48%
2022-02-15,"1,859.60","1,876.30","1,884.80","1,849.20",5.03K,-0.70%
2022-02-16,"1,874.90","1,858.60","1,877.40","1,855.40",5.49K,0.82%
2022-02-17,"1,905.30","1,875.00","1,906.60","1,873.30",10.08K,1.62%
2022-02-18,"1,903.10","1,905.00","1,907.90","1,891.80",4.60K,-0.12%
2022-02-21,"1,907.40","1,903.50","1,918.30","1,889.70",334.59K,0.23%
