Date,Price,Open,High,Low,Vol.,Change %
2024-02-01,"2,090.60","2,076.90","2,102.50","2,066.00",9.17K,0.17%
2024-02-02,"2,073.40","2,091.80","2,094.10","2,064.00",12.91K,-0.82%
2024-02-05,"2,062.70","2,076.20","2,077.60","2,050.80",6.97K,-0.52%
2024-02-06,"2,071.20","2,061.40","2,074.80","2,058.70",4.48K,0.41%
2024-02-07,"2,071.50","2,072.00","2,080.90","2,066.20",5.89K,0.01%
2024-02-08,"2,067.80","2,070.60","2,073.50","2,054.70",6.39K,-0.18%
2024-02-09,"2,058.60","2,069.60","2,071.60","2,054.40",7.53K,-0.44%
2024-02-12,"2,053.00","2,058.10","2,061.40","2,045.40",4.65K,-0.27%
2024-02-13,"2,027.10","2,053.40","2,067.00","2,022.80",8.87K,-1.26%
2024-02-14,"2,024.00","2,025.70","2,028.50","2,016.30",8.23K,-0.15%
2024-02-15,"2,034.70","2,024.80","2,040.00","2,021.80",7.76K,0.53%
2024-02-16,"2,043.90","2,036.10","2,046.80","2,026.60",4.74K,0.45%
2024-02-19,"2,039.80","2,027.70","2,042.70","2,023.90",202.43K,-0.20%
2024-02-20,"2,059.60","2,049.80","2,062.20","2,044.20",8.14K,0.97%
2024-02-21,"2,054.00","2,055.90","2,063.10","2,050.80",4.49K,-0.27%
2024-02-22,"2,050.50","2,055.80","2,064.80","2,049.20",4.85K,-0.17%
2024-02-23,"2,069.30","2,054.20","2,073.00","2,045.50",7.46K,0.92%
2024-02-26,"2,058.80","2,064.00","2,066.50","2,054.10",4.57K,-0.51%
2024-02-27,"2,064.10","2,060.70","2,068.80","2,058.40",6.03K,0.26%
2024-02-28,"2,062.70","2,059.70","2,067.30","2,053.60",4.89K,-0.07%
2024-02-29,"2,074.60","2,063.40","2,079.20","2,056.10",9.73K,0.58%
