Date,Price,Open,High,Low,Vol.,Change %
2017-01-03,"1,162.00","1,151.40","1,166.00","1,146.50",229.18K,0.89%
2017-01-04,"1,165.30","1,159.60","1,168.60","1,156.70",179.88K,0.28%
2017-01-05,"1,181.30","1,164.60","1,185.90","1,163.60",272.12K,1.37%
2017-01-06,"1,173.40","1,181.00","1,183.80","1,171.10",226.43K,-0.67%
2017-01-09,"1,184.90","1,172.90","1,186.40","1,172.20",179.03K,0.98%
2017-01-10,"1,185.50","1,181.30","1,190.60","1,180.20",224.81K,0.05%
2017-01-11,"1,196.60","1,188.10","1,198.50","1,177.00",328.69K,0.94%
2017-01-12,"1,199.80","1,191.10","1,207.20","1,190.70",269.32K,0.27%
2017-01-13,"1,196.20","1,194.80","1,201.80","1,187.50",288.62K,-0.30%
2017-01-16,"1,212.90","1,199.40","1,218.90","1,198.00",381.42K,1.40%
2017-01-18,"1,212.10","1,216.80","1,217.70","1,201.80",203.65K,-0.07%
2017-01-19,"1,201.50","1,203.10","1,206.40","1,195.40",247.40K,-0.87%
2017-01-20,"1,204.90","1,204.80","1,214.80","1,198.20",244.34K,0.28%
2017-01-23,"1,215.60","1,209.30","1,219.40","1,209.00",237.41K,0.89%
2017-01-24,"1,210.80","1,218.00","1,220.10","1,206.20",216.01K,-0.39%
2017-01-25,"1,197.80","1,208.60","1,209.30","1,192.60",299.18K,-1.07%
2017-01-26,"1,189.80","1,200.70","1,202.30","1,183.90",244.31K,-0.67%
2017-01-27,"1,188.40","1,188.50","1,191.00","1,179.70",234.35K,-0.12%
2017-01-30,"1,196.00","1,194.60","1,201.30","1,190.00",191.77K,0.64%
2017-01-31,"1,211.40","1,197.70","1,217.40","1,195.60",246.90K,1.29%
2017-02-01,"1,208.30","1,212.20","1,215.00","1,199.70",217.09K,-0.26%
2017-02-02,"1,219.40","1,211.20","1,227.50","1,210.20",232.06K,0.92%
2017-02-03,"1,220.80","1,217.80","1,223.20","1,208.30",217.98K,0.11%
2017-02-06,"1,232.10","1,221.90","1,237.50","1,220.80",197.32K,0.93%
2017-02-07,"1,236.10","1,236.90","1,237.50","1,229.20",202.31K,0.32%
2017-02-08,"1,239.50","1,235.20","1,246.60","1,231.30",221.91K,0.28%
2017-02-09,"1,236.80","1,242.70","1,246.20","1,226.10",246.14K,-0.22%
2017-02-10,"1,235.90","1,229.60","1,238.90","1,222.60",240.05K,-0.07%
2017-02-13,"1,225.80","1,234.20","1,234.40","1,220.30",176.62K,-0.82%
2017-02-14,"1,225.40","1,226.10","1,236.00","1,222.70",233.75K,-0.03%
2017-02-15,"1,233.10","1,228.60","1,234.90","1,217.50",226.71K,0.63%
2017-02-16,"1,241.60","1,234.30","1,243.70","1,233.30",203.79K,0.69%
2017-02-17,"1,239.10","1,240.80","1,245.10","1,235.30",164.41K,-0.20%
2017-02-20,"1,238.90","1,236.40","1,240.20","1,226.80",259.51K,-0.02%
2017-02-22,"1,233.30","1,236.90","1,241.90","1,231.50",201.34K,-0.45%
2017-02-23,"1,251.40","1,238.30","1,252.20","1,236.40",264.97K,1.47%
2017-02-24,"1,258.30","1,250.60","1,261.20","1,248.80",220.13K,0.55%
2017-02-27,"1,258.80","1,258.90","1,264.90","1,251.50",208.49K,0.04%
2017-02-28,"1,253.90","1,253.30","1,259.30","1,248.20",234.94K,-0.39%
2017-03-01,"1,250.00","1,248.50","1,251.40","1,237.20",318.04K,-0.31%
2017-03-02,"1,232.90","1,249.90","1,250.80","1,231.10",272.76K,-1.37%
2017-03-03,"1,226.50","1,234.80","1,236.70","1,223.00",272.29K,-0.52%
2017-03-06,"1,225.50","1,233.90","1,237.30","1,225.00",156.98K,-0.08%
2017-03-07,"1,216.10","1,225.70","1,227.40","1,214.10",203.71K,-0.77%
2017-03-08,"1,209.40","1,215.60","1,218.50","1,206.40",211.11K,-0.55%
2017-03-09,"1,203.20","1,207.70","1,208.90","1,199.00",233.51K,-0.51%
2017-03-10,"1,201.40","1,200.20","1,206.20","1,194.50",257.84K,-0.15%
2017-03-13,"1,203.10","1,205.00","1,210.90","1,202.00",173.92K,0.14%
2017-03-14,"1,202.60","1,203.50","1,207.50","1,196.90",183.72K,-0.04%
2017-03-15,"1,200.70","1,198.70","1,222.00","1,196.80",264.34K,-0.16%
