Date,Price,Open,High,Low,Vol.,Change %
2016-11-01,726.8,698.7,734.4,695.2,68.07K,4.02%
2016-11-02,733.5,726.8,735.8,718.1,39.04K,0.93%
2016-11-03,684.9,733.5,744.4,670.4,96.41K,-6.63%
2016-11-04,702.1,684.9,706.6,681.3,48.24K,2.51%
2016-11-05,702.1,702.1,706.4,694.0,22.02K,0.00%
2016-11-06,709.9,702.1,714.1,697.6,25.81K,1.11%
2016-11-07,705.4,709.9,711.7,698.3,30.74K,-0.64%
2016-11-08,710.9,705.4,714.6,701.0,39.73K,0.78%
2016-11-09,721.4,710.9,741.2,707.1,70.70K,1.48%
2016-11-10,714.6,721.4,723.0,707.3,33.33K,-0.95%
2016-11-11,715.0,714.6,719.8,711.7,25.58K,0.06%
2016-11-12,704.3,715.0,717.4,701.1,27.60K,-1.50%
2016-11-13,702.0,704.3,705.6,685.0,36.14K,-0.33%
2016-11-14,704.6,702.0,708.0,696.1,37.75K,0.37%
2016-11-15,711.1,704.6,716.9,697.9,41.40K,0.93%
2016-11-16,740.3,711.1,746.0,708.1,79.57K,4.10%
2016-11-17,737.5,740.3,751.9,730.1,62.77K,-0.37%
2016-11-18,747.0,737.5,751.4,731.0,39.71K,1.28%
2016-11-19,747.9,747.0,755.3,737.4,25.63K,0.12%
2016-11-20,728.5,747.9,752.3,712.8,47.42K,-2.59%
2016-11-21,736.2,728.5,744.3,726.5,32.51K,1.05%
2016-11-22,749.3,736.2,754.0,730.6,44.44K,1.79%
2016-11-23,741.1,749.3,750.9,731.3,37.87K,-1.10%
2016-11-24,735.3,741.1,744.2,726.2,37.24K,-0.78%
2016-11-25,740.4,735.3,741.3,729.0,28.85K,0.69%
2016-11-26,734.1,740.4,741.0,725.6,22.58K,-0.84%
2016-11-27,729.4,734.1,738.3,727.1,21.35K,-0.64%
2016-11-28,733.3,729.4,738.1,727.7,34.12K,0.53%
2016-11-29,732.6,733.3,737.0,727.8,32.57K,-0.10%
2016-11-30,742.5,732.6,745.4,730.6,39.28K,1.36%
2016-12-01,752.6,742.5,755.5,741.1,54.03K,1.37%
