Date,Price,Open,High,Low,Vol.,Change %
2019-01-02,"1,290.50","1,291.40","1,297.00","1,287.00",14.46K,0.22%
2019-01-03,"1,301.20","1,293.50","1,302.80","1,292.80",15.28K,0.83%
2019-01-04,"1,292.20","1,301.40","1,306.50","1,284.60",11.88K,-0.69%
2019-01-07,"1,296.40","1,293.30","1,303.20","1,290.70",12.45K,0.33%
2019-01-08,"1,292.40","1,296.40","1,297.20","1,286.70",38.26K,-0.31%
2019-01-09,"1,298.50","1,292.60","1,301.30","1,287.30",30.71K,0.47%
2019-01-10,"1,294.00","1,301.30","1,304.30","1,293.20",39.62K,-0.35%
2019-01-11,"1,296.10","1,294.10","1,302.10","1,293.90",33.60K,0.16%
2019-01-14,"1,298.00","1,294.50","1,303.10","1,294.40",42.25K,0.15%
2019-01-15,"1,294.90","1,298.90","1,301.30","1,293.10",27.92K,-0.24%
2019-01-16,"1,300.30","1,295.90","1,301.90","1,294.10",17.57K,0.42%
2019-01-17,"1,298.70","1,300.50","1,301.30","1,294.80",19.83K,-0.12%
2019-01-18,"1,288.90","1,298.30","1,298.60","1,286.30",32.33K,-0.75%
2019-01-21,"1,283.40","1,280.70","1,285.00","1,276.00",318.85K,-0.43%
2019-01-22,"1,289.50","1,287.50","1,291.10","1,282.10",73.64K,0.48%
2019-01-23,"1,290.20","1,290.80","1,292.10","1,284.00",62.35K,0.05%
2019-01-24,"1,285.90","1,288.30","1,290.00","1,281.50",70.66K,-0.33%
2019-01-25,"1,304.20","1,286.00","1,309.30","1,284.80",90.11K,1.42%
2019-01-28,"1,309.30","1,308.50","1,309.80","1,302.70",126.08K,0.39%
2019-01-29,"1,315.20","1,308.50","1,317.10","1,307.80",185.54K,0.45%
2019-01-30,"1,321.90","1,323.20","1,334.90","1,320.00",8.29K,0.51%
2019-01-31,"1,331.60","1,332.00","1,337.20","1,328.80",4.30K,0.73%
2019-02-01,"1,328.60","1,332.10","1,334.20","1,327.20",3.62K,-0.23%
2019-02-04,"1,325.80","1,329.00","1,329.50","1,319.30",2.89K,-0.21%
2019-02-05,"1,325.80","1,322.40","1,327.30","1,321.50",4.21K,0.00%
2019-02-06,"1,320.90","1,325.70","1,326.10","1,316.60",2.26K,-0.37%
2019-02-07,"1,320.70","1,317.20","1,322.20","1,313.20",5.73K,-0.02%
2019-02-08,"1,325.00","1,320.50","1,325.90","1,318.20",6.48K,0.33%
2019-02-11,"1,318.40","1,324.60","1,324.90","1,313.70",4.95K,-0.50%
2019-02-12,"1,320.40","1,317.10","1,324.60","1,317.10",3.90K,0.15%
2019-02-13,"1,321.60","1,321.30","1,328.00","1,314.90",5.40K,0.09%
2019-02-14,"1,320.40","1,316.70","1,323.70","1,311.30",3.61K,-0.09%
2019-02-15,"1,328.50","1,322.00","1,332.20","1,320.70",2.83K,0.61%
2019-02-18,"1,344.80","1,325.00","1,345.00","1,323.80",348.64K,1.23%
2019-02-19,"1,351.30","1,331.10","1,351.40","1,330.50",5.59K,0.48%
2019-02-20,"1,354.40","1,350.30","1,356.00","1,346.80",4.04K,0.23%
2019-02-21,"1,334.30","1,348.10","1,350.70","1,330.00",6.33K,-1.48%
2019-02-22,"1,339.40","1,332.40","1,342.00","1,330.30",8.27K,0.38%
2019-02-25,"1,336.10","1,336.90","1,341.40","1,334.00",4.22K,-0.25%
2019-02-26,"1,335.20","1,336.00","1,338.80","1,332.10",8.87K,-0.07%
2019-02-27,"1,327.90","1,337.70","1,338.00","1,325.00",18.90K,-0.55%
