Date,Price,Open,High,Low,Vol.,Change %
2024-05-01,"2,332.90","2,319.90","2,360.70","2,314.00",17.04K,0.35%
2024-05-02,"2,331.60","2,351.70","2,357.90","2,316.50",21.42K,-0.06%
2024-05-03,"2,330.60","2,335.20","2,352.00","2,308.70",28.12K,-0.04%
2024-05-06,"2,353.40","2,335.10","2,363.80","2,322.70",23.92K,0.98%
2024-05-07,"2,346.60","2,356.20","2,360.90","2,340.50",74.12K,-0.29%
2024-05-08,"2,344.80","2,344.60","2,351.50","2,333.70",62.93K,-0.08%
2024-05-09,"2,362.70","2,338.30","2,376.20","2,335.90",51.69K,0.76%
2024-05-10,"2,397.70","2,375.70","2,407.60","2,375.20",77.27K,1.48%
2024-05-13,"2,365.70","2,392.10","2,393.20","2,360.40",59.07K,-1.33%
2024-05-14,"2,382.50","2,364.50","2,387.60","2,363.40",22.96K,0.71%
2024-05-15,"2,417.60","2,385.20","2,418.50","2,379.80",28.97K,1.47%
2024-05-16,"2,408.30","2,416.70","2,425.20","2,398.00",28.57K,-0.38%
2024-05-17,"2,440.40","2,403.60","2,450.10","2,400.80",33.34K,1.33%
2024-05-20,"2,461.70","2,445.70","2,477.00","2,434.40",46.93K,0.87%
2024-05-21,"2,449.10","2,453.90","2,461.20","2,431.80",42.50K,-0.51%
2024-05-22,"2,415.70","2,448.30","2,453.30","2,400.80",50.55K,-1.36%
2024-05-23,"2,359.70","2,405.30","2,407.90","2,350.50",64.70K,-2.32%
2024-05-24,"2,356.90","2,352.50","2,371.30","2,348.70",48.41K,-0.12%
2024-05-27,"2,356.50","2,338.00","2,365.50","2,333.80",105.47K,-0.02%
2024-05-28,"2,379.30","2,359.80","2,388.00","2,356.90",129.15K,0.97%
2024-05-29,"2,364.10","2,384.70","2,386.00","2,356.60",172.06K,-0.64%
