Date,Price,Open,High,Low,Vol.,Change %
2021-01-04,"1,951.10","1,912.50","1,953.00","1,911.30",16.79K,2.71%
2021-01-05,"1,958.80","1,950.70","1,961.00","1,942.80",12.67K,0.39%
2021-01-06,"1,913.00","1,958.30","1,966.80","1,907.20",25.53K,-2.34%
2021-01-07,"1,918.00","1,925.90","1,933.80","1,912.20",10.63K,0.26%
2021-01-08,"1,839.70","1,921.60","1,922.30","1,832.00",56.15K,-4.08%
2021-01-11,"1,854.90","1,852.90","1,860.00","1,821.30",54.96K,0.83%
2021-01-12,"1,848.20","1,850.70","1,867.80","1,840.00",51.42K,-0.36%
2021-01-13,"1,858.80","1,858.60","1,866.50","1,845.70",70.54K,0.57%
2021-01-14,"1,855.40","1,849.40","1,861.10","1,830.40",73.07K,-0.18%
2021-01-15,"1,833.70","1,850.40","1,860.20","1,826.10",40.61K,-1.17%
2021-01-18,"1,840.20","1,828.80","1,845.00","1,800.80",331.59K,0.35%
2021-01-19,"1,844.00","1,832.30","1,848.40","1,804.70",90.42K,0.21%
2021-01-20,"1,870.20","1,843.20","1,875.60","1,834.80",52.60K,1.42%
2021-01-21,"1,869.30","1,875.60","1,878.10","1,861.20",48.23K,-0.05%
2021-01-22,"1,859.90","1,874.00","1,874.10","1,839.70",77.97K,-0.50%
2021-01-25,"1,859.00","1,858.60","1,870.90","1,850.00",89.52K,-0.05%
2021-01-26,"1,854.80","1,858.70","1,864.50","1,851.10",91.25K,-0.23%
2021-01-27,"1,848.90","1,854.30","1,855.70","1,832.40",174.14K,-0.32%
2021-01-28,"1,843.70","1,847.80","1,869.60","1,839.00",10.09K,-0.28%
2021-01-29,"1,852.70","1,847.60","1,881.00","1,844.20",6.79K,0.49%
2021-02-01,"1,866.00","1,867.30","1,877.80","1,854.50",16.65K,0.72%
2021-02-02,"1,835.80","1,865.80","1,867.60","1,833.00",5.63K,-1.62%
2021-02-03,"1,837.60","1,841.20","1,848.00","1,832.40",6.79K,0.10%
2021-02-04,"1,793.80","1,837.50","1,838.00","1,787.30",5.83K,-2.38%
2021-02-05,"1,815.60","1,797.50","1,817.90","1,795.40",6.31K,1.22%
2021-02-08,"1,836.80","1,818.90","1,842.20","1,809.90",6.06K,1.17%
2021-02-09,"1,840.20","1,835.00","1,852.00","1,833.00",3.40K,0.19%
2021-02-10,"1,845.60","1,842.30","1,858.90","1,837.80",5.70K,0.29%
2021-02-11,"1,829.80","1,847.40","1,850.80","1,825.50",4.30K,-0.86%
2021-02-12,"1,826.00","1,829.30","1,833.00","1,813.30",3.84K,-0.21%
2021-02-15,"1,799.00","1,826.00","1,827.10","1,788.10",355.92K,-1.48%
2021-02-16,"1,801.90","1,828.00","1,829.90","1,791.60",6.43K,0.16%
2021-02-17,"1,775.80","1,795.10","1,796.90","1,771.60",8.11K,-1.45%
2021-02-18,"1,778.00","1,779.00","1,790.80","1,769.50",5.73K,0.12%
2021-02-19,"1,780.30","1,777.70","1,793.10","1,762.90",7.96K,0.13%
2021-02-22,"1,811.20","1,785.80","1,814.70","1,781.50",6.10K,1.74%
2021-02-23,"1,808.60","1,812.20","1,817.60","1,797.40",5.53K,-0.14%
2021-02-24,"1,800.80","1,807.90","1,815.00","1,785.00",6.49K,-0.43%
2021-02-25,"1,778.40","1,806.90","1,806.90","1,767.10",9.09K,-1.24%
2021-02-26,"1,731.60","1,771.50","1,775.60","1,718.10",16.64K,-2.63%
2021-03-01,"1,725.80","1,735.40","1,759.90","1,720.20",10.64K,-0.33%
2021-03-02,"1,736.50","1,724.50","1,740.10","1,707.80",11.03K,0.62%
2021-03-03,"1,718.70","1,739.10","1,741.00","1,702.90",12.21K,-1.03%
2021-03-04,"1,703.70","1,712.30","1,724.10","1,690.80",21.57K,-0.87%
2021-03-05,"1,701.60","1,698.40","1,708.30","1,685.80",52.83K,-0.12%
2021-03-08,"1,680.80","1,703.90","1,714.90","1,676.20",64.06K,-1.22%
2021-03-09,"1,719.70","1,683.10","1,721.40","1,679.70",48.45K,2.31%
2021-03-10,"1,724.50","1,717.40","1,727.80","1,708.40",58.59K,0.28%
