Date,Price,Open,High,Low,Vol.,Change %
2024-08-01,"65,372.9","64,625.7","65,587.9","62,303.9",84.20K,1.16%
2024-08-02,"61,478.7","65,351.8","65,567.1","61,242.3",93.89K,-5.96%
2024-08-03,"60,696.7","61,480.8","62,184.2","59,914.6",65.74K,-1.27%
2024-08-04,"58,141.8","60,700.2","61,086.5","57,346.9",72.71K,-4.21%
2024-08-05,"53,979.0","58,142.9","58,291.4","49,486.9",333.46K,-7.16%
2024-08-06,"56,057.8","54,010.8","57,025.6","53,998.2",113.89K,3.85%
2024-08-07,"55,120.9","56,049.9","57,669.6","54,598.5",94.52K,-1.67%
2024-08-08,"61,699.7","55,112.8","62,563.5","54,786.9",109.77K,11.94%
2024-08-09,"60,850.6","61,697.8","61,712.3","59,570.2",69.55K,-1.38%
2024-08-10,"60,931.7","60,844.5","61,344.5","60,264.2",22.91K,0.13%
2024-08-11,"58,713.3","60,929.8","61,677.3","58,388.7",41.06K,-3.64%
2024-08-12,"59,350.0","58,711.7","60,606.2","57,689.0",79.31K,1.08%
2024-08-13,"60,595.2","59,350.2","61,537.0","58,492.4",62.92K,2.10%
2024-08-14,"58,707.8","60,594.6","61,543.0","58,491.2",64.79K,-3.11%
2024-08-15,"57,534.6","58,710.1","59,831.4","56,275.7",81.47K,-2.00%
2024-08-16,"58,877.2","57,545.1","59,817.3","57,129.1",64.01K,2.33%
2024-08-17,"59,483.1","58,877.8","59,659.5","58,825.5",18.51K,1.03%
2024-08-18,"58,446.3","59,485.4","60,216.3","58,436.1",30.82K,-1.74%
2024-08-19,"59,470.9","58,445.8","59,598.5","57,872.0",49.19K,1.75%
2024-08-20,"59,005.8","59,470.3","61,331.6","58,612.0",69.77K,-0.78%
2024-08-21,"61,158.1","59,010.0","61,812.0","58,831.1",91.31K,3.65%
2024-08-22,"60,372.2","61,158.3","61,399.7","59,815.8",74.39K,-1.29%
2024-08-23,"64,053.1","60,374.7","64,830.1","60,354.4",125.50K,6.10%
2024-08-24,"64,159.3","64,061.7","64,458.9","63,579.5",54.14K,0.17%
2024-08-25,"64,273.2","64,160.7","64,939.2","63,796.6",41.61K,0.18%
2024-08-26,"62,846.2","64,240.7","64,472.5","62,841.1",68.89K,-2.22%
2024-08-27,"59,450.9","62,832.2","63,201.4","58,187.3",108.53K,-5.40%
2024-08-28,"59,016.0","59,425.6","60,198.4","57,912.1",109.47K,-0.73%
2024-08-29,"59,373.5","59,027.3","61,150.6","58,807.1",87.19K,0.61%
2024-08-30,"59,119.7","59,371.7","59,817.6","57,874.7",87.31K,-0.43%
2024-08-31,"58,978.6","59,120.4","59,447.0","58,761.1",30.86K,-0.24%
