Date,Price,Open,High,Low,Vol.,Change %
2024-03-01,"2,116.00","2,072.40","2,117.40","2,067.10",46.81K,2.00%
2024-03-04,"2,146.80","2,111.70","2,148.60","2,108.50",43.27K,1.46%
2024-03-05,"2,162.50","2,143.50","2,170.80","2,139.20",20.58K,0.73%
2024-03-06,"2,178.80","2,157.00","2,181.10","2,152.80",34.24K,0.75%
2024-03-07,"2,185.90","2,177.10","2,192.70","2,172.60",61.74K,0.33%
2024-03-08,"2,206.30","2,187.20","2,223.30","2,182.10",108.34K,0.93%
2024-03-11,"2,210.00","2,208.50","2,216.30","2,202.20",83.44K,0.17%
2024-03-12,"2,187.70","2,209.60","2,211.90","2,178.00",67.25K,-1.01%
2024-03-13,"2,202.40","2,185.20","2,206.90","2,183.00",65.07K,0.67%
2024-03-14,"2,189.10","2,201.30","2,202.60","2,178.40",28.53K,-0.60%
2024-03-15,"2,183.10","2,188.70","2,198.20","2,180.40",28.57K,-0.27%
2024-03-18,"2,185.90","2,181.40","2,188.70","2,170.80",52.41K,0.13%
2024-03-19,"2,181.20","2,185.60","2,187.80","2,171.90",41.98K,-0.22%
2024-03-20,"2,182.40","2,182.60","2,213.60","2,173.60",54.11K,0.06%
2024-03-21,"2,206.50","2,212.40","2,246.60","2,189.70",127.19K,1.10%
2024-03-22,"2,181.60","2,204.70","2,209.60","2,180.20",88.19K,-1.13%
2024-03-25,"2,198.20","2,188.50","2,204.10","2,186.10",124.95K,0.76%
2024-03-26,"2,199.20","2,195.00","2,222.60","2,190.00",220.67K,0.05%
2024-03-27,"2,232.40","2,218.60","2,237.90","2,213.90",4.26K,1.51%
2024-03-28,"2,258.40","2,235.10","2,276.80","2,227.80",7.10K,1.16%
