Date,Price,Open,High,Low,Vol.,Change %
2018-01-02,"1,320.90","1,309.90","1,325.00","1,309.30",18.34K,0.53%
2018-01-03,"1,323.40","1,323.70","1,327.40","1,313.90",20.47K,0.19%
2018-01-04,"1,326.40","1,319.50","1,331.90","1,312.00",29.63K,0.23%
2018-01-05,"1,327.10","1,328.70","1,329.30","1,319.60",14.45K,0.05%
2018-01-08,"1,325.20","1,325.60","1,327.80","1,320.70",31.68K,-0.14%
2018-01-09,"1,318.50","1,326.10","1,326.20","1,314.40",48.11K,-0.51%
2018-01-10,"1,324.10","1,318.20","1,333.00","1,313.90",38.91K,0.42%
2018-01-11,"1,327.30","1,322.00","1,329.30","1,321.00",19.60K,0.24%
2018-01-12,"1,339.80","1,327.90","1,344.80","1,326.00",36.01K,0.94%
2018-01-15,"1,337.10","1,337.30","1,345.00","1,332.10",499.76K,-0.20%
2018-01-16,"1,342.00","1,342.00","1,349.70","1,337.00",39.94K,0.37%
2018-01-17,"1,344.00","1,344.40","1,349.20","1,331.30",59.49K,0.15%
2018-01-18,"1,332.00","1,332.20","1,338.00","1,329.10",21.63K,-0.89%
2018-01-19,"1,338.00","1,332.30","1,342.70","1,331.60",35.64K,0.45%
2018-01-22,"1,336.90","1,339.40","1,340.30","1,332.90",104.32K,-0.08%
2018-01-23,"1,341.70","1,338.40","1,346.60","1,335.80",70.40K,0.36%
2018-01-24,"1,361.40","1,346.20","1,366.80","1,344.10",159.34K,1.47%
2018-01-25,"1,368.00","1,362.70","1,370.50","1,346.20",142.58K,0.48%
2018-01-26,"1,357.20","1,352.70","1,361.00","1,348.60",142.27K,-0.79%
2018-01-29,"1,345.10","1,353.70","1,356.30","1,340.90",233.76K,-0.89%
2018-01-30,"1,345.20","1,349.60","1,357.40","1,342.90",7.58K,0.01%
2018-01-31,"1,348.40","1,346.50","1,355.90","1,341.20",5.95K,0.24%
2018-02-01,"1,353.10","1,352.50","1,359.40","1,345.70",3.87K,0.35%
2018-02-02,"1,342.50","1,355.40","1,358.40","1,335.30",6.84K,-0.78%
2018-02-05,"1,341.70","1,339.70","1,349.20","1,336.70",4.52K,-0.06%
2018-02-06,"1,334.70","1,347.30","1,354.40","1,328.00",6.26K,-0.52%
2018-02-07,"1,319.80","1,332.60","1,339.50","1,318.80",4.79K,-1.12%
2018-02-08,"1,324.20","1,325.50","1,329.50","1,314.50",7.80K,0.33%
2018-02-09,"1,320.90","1,328.50","1,330.00","1,318.50",6.27K,-0.25%
2018-02-12,"1,331.50","1,322.00","1,335.00","1,321.90",7.76K,0.80%
2018-02-13,"1,335.40","1,329.70","1,338.60","1,329.10",5.04K,0.29%
2018-02-14,"1,363.10","1,336.70","1,363.60","1,325.00",14.55K,2.07%
2018-02-15,"1,360.70","1,357.80","1,365.00","1,356.30",11.53K,-0.18%
2018-02-16,"1,361.60","1,361.80","1,369.60","1,353.00",17.72K,0.07%
2018-02-19,"1,331.20","1,350.20","1,354.00","1,330.60",374.05K,-2.23%
2018-02-20,"1,336.60","1,355.10","1,359.00","1,336.10",15.41K,0.41%
2018-02-21,"1,337.50","1,336.60","1,343.10","1,330.00",2.96K,0.07%
2018-02-22,"1,338.10","1,332.30","1,339.50","1,328.20",10.48K,0.04%
2018-02-23,"1,335.80","1,339.30","1,339.30","1,333.00",7.85K,-0.17%
2018-02-26,"1,338.40","1,335.00","1,348.10","1,334.40",15.35K,0.19%
2018-02-27,"1,324.20","1,340.50","1,343.80","1,320.40",14.02K,-1.06%
2018-02-28,"1,323.70","1,324.50","1,329.20","1,322.50",24.31K,-0.04%
2018-03-01,"1,311.00","1,325.60","1,327.60","1,309.30",27.77K,-0.96%
2018-03-02,"1,329.20","1,323.90","1,332.40","1,321.90",10.25K,1.39%
2018-03-05,"1,325.70","1,330.60","1,334.40","1,324.00",16.20K,-0.26%
2018-03-06,"1,341.00","1,326.60","1,345.50","1,326.60",13.45K,1.15%
2018-03-07,"1,333.40","1,343.80","1,347.50","1,329.00",31.03K,-0.57%
2018-03-08,"1,327.60","1,332.20","1,335.50","1,325.50",31.57K,-0.43%
2018-03-09,"1,329.90","1,328.10","1,331.60","1,319.10",43.90K,0.17%
2018-03-12,"1,326.70","1,329.80","1,330.40","1,321.40",31.32K,-0.24%
2018-03-13,"1,333.00","1,329.30","1,334.60","1,320.00",40.23K,0.47%
2018-03-14,"1,331.40","1,332.40","1,336.40","1,327.60",28.68K,-0.12%
2018-03-15,"1,323.50","1,330.70","1,333.80","1,320.70",14.09K,-0.59%
2018-03-16,"1,318.00","1,322.30","1,327.40","1,315.30",26.99K,-0.42%
2018-03-19,"1,323.40","1,319.50","1,325.20","1,313.10",49.99K,0.41%
2018-03-20,"1,317.60","1,322.40","1,323.70","1,312.40",56.56K,-0.44%
2018-03-21,"1,327.30","1,317.00","1,342.60","1,315.50",66.74K,0.74%
2018-03-22,"1,333.20","1,338.00","1,340.80","1,330.30",70.66K,0.44%
2018-03-23,"1,355.70","1,335.50","1,356.30","1,334.70",127.20K,1.69%
2018-03-26,"1,360.90","1,350.60","1,361.80","1,349.20",192.81K,0.38%
2018-03-27,"1,347.90","1,359.30","1,362.60","1,345.40",296.48K,-0.96%
2018-03-28,"1,336.10","1,356.80","1,358.30","1,334.00",8.69K,-0.88%
